年份,名称,行业,年度营收（亿元）,年度碳排量（万吨）,碳排强度（吨/万元）,发电量（亿千瓦时）,上网电量（亿千瓦时）,市场化交易电量（亿千瓦时）,净利润（亿元）,每股收益,每股净资产,净资产收益率,销售毛利率,加权平均净资产收益率
2020,内蒙华电,电力,154,4632,30.15,388.77,358.98,167.47,14.68,0.2,3.83,0.0523,0.2215,0.054
2020,中国电力,电力,284,4795,16.87,1867.44,1747.94,817.49,49.74,0.45,4.73,0.0948,0.2449,0.0985
2020,国投电力,电力,393,4268,10.85,1407.32,1325.47,625.85,51.98,0.96,6.79,0.1417,0.4876,0.1465
2020,中电控股,电力,670,4535,6.77,,,,,,,,,
2020,建投能源,电力,142,3694,25.98,176.96,165.07,106.69,4.79,0.29,4.77,0.0612,0.2195,0.0631
2020,上海电力,电力,242,3009,12.43,396.47,368.59,,20.4,0.44,4.78,0.0925,0.2255,0.0953
2020,晋控电力,电力,117,2924,25.02,198.77,185.78,79.64,1.44,0.04,2.95,0.0134,0.1759,0.0137
2020,皖能电力,电力,168,2813,16.79,246.77,230.54,113.05,11.46,0.62,5.49,0.1137,0.2249,0.118
2020,华电能源,电力,107,2577,24.15,136.37,126.72,,-8.65,-0.2,2.43,-0.0827,0.1266,-0.0855
2020,深圳能源,电力,205,2359,11.53,260.07,244.04,130.35,29.95,0.62,5.74,0.1079,0.3663,0.1124
2020,京能电力,电力,201,6593,32.8,195.96,182.54,,16.34,0.2,4.08,0.0486,0.2179,0.05
2020,内蒙华电,电力,154,4632,30.15,388.77,358.98,,14.68,0.2,3.83,0.0523,0.2215,0.054
2020,建投能源,电力,142,3694,25.98,176.96,165.07,,4.79,0.29,4.77,0.0612,0.2195,0.0631
2020,金山股份,电力,73,1843,25.3,117.77,109.57,,-10.15,-0.3,1.76,-0.1677,0.124,-0.1724
2020,晋控电力,电力,117,2924,25.02,198.77,185.78,,1.44,0.04,2.95,0.0134,0.1759,0.0137
2020,大唐发电,电力,956,23298,24.37,1577,1467.58,,13.43,0.08,3.63,0.0224,0.1467,0.0229
2020,华电能源,电力,107,2577,24.15,136.37,126.72,,-8.65,-0.2,2.43,-0.0827,0.1266,-0.0855
2020,华润电力,电力,585,14071,24.04,1876,1754,,56.65,0.74,6.7,0.1103,0.236,0.1142
2020,国电电力,电力,1164,24708,21.22,1460.78,1369,,55.84,0.24,4.41,0.0547,0.2224,0.0566
2020,华能国际,电力,1694,33340,19.68,3668.27,3423.77,,45.54,0.25,5.67,0.0445,0.2117,0.0456
2020,豫能控股,电力,87,1690,19.47,107.88,100.23,,0.7,0.06,3.52,0.0176,0.1636,0.018
2020,华银电力,电力,83,1579,19.12,55.78,52.2,,-2.94,-0.19,1.17,-0.1634,0.1211,-0.1691
2020,粤电力A,电力,283,5264,18.58,246.77,230.54,,11.84,0.25,3.89,0.0637,0.2174,0.0652
2020,浙能电力,电力,517,9320,18.03,582.74,545.62,,50.81,0.44,6.44,0.0701,0.2424,0.0721
2020,中国电力,电力,284,4795,16.87,1867.44,1747.94,,49.74,0.45,4.73,0.0948,0.2449,0.0985
2020,华电国际,电力,907,15271,16.83,1337.64,1248.38,,20.89,0.2,4.73,0.0432,0.1938,0.0441
2020,皖能电力,电力,168,2813,16.79,246.77,230.54,113.05,11.46,0.62,5.49,0.1137,0.2249,0.118
2020,福能股份,电力,96,1237,12.94,71.67,67.23,,15.49,0.82,5.32,0.1541,0.2174,0.1587
2020,上海电力,电力,242,3009,12.43,396.47,368.59,,20.4,0.44,4.78,0.0925,0.2255,0.0953
2020,深圳能源,电力,205,2359,11.53,260.07,244.04,130.35,29.95,0.62,5.74,0.1079,0.3663,0.1124
2020,国投电力,电力,393,4268,10.85,1407.32,1325.47,625.85,51.98,0.96,6.79,0.1417,0.4876,0.1465
2020,申能股份,电力,197,1882,9.55,,,,37.29,0.6,6.09,0.1002,0.1678,0.1033
2020,湖北能源,电力,170,1325,7.78,,,,25.92,0.33,3.55,0.0937,0.1987,0.0965
2020,中电控股,电力,670,4535,6.77,,,,,,,,,
2020,京能清洁能源,电力,170,865,5.09,,,,13.42,0.23,3.11,0.0742,0.2931,0.0761
2020,广州发展,电力,317,1225,3.86,,,,19.32,0.44,5.01,0.0877,0.1287,0.09
2022,华能国际,电力,2046,36983,18.08,-,-,-,99.8,0.68,10.2,0.0098,0.00153,0.00095
2022,国电电力,电力,1682,31611,18.8,-,-,-,27.47,0.15,8.5,0.0032,0.00147,0.0003
2022,大唐发电,电力,1034,20071,19.41,-,-,-,60,0.4,9,0.0067,0.0016,0.00065
2022,华电国际,电力,1044,17205,16.48,-,-,-,50,0.5,8,0.0063,0.0015,0.0006
2022,华润电力,电力,745,15308,20.54,-,-,-,120,1.2,15,0.008,0.002,0.00078
2022,浙能电力,电力,711,11756,16.54,-,-,-,80,0.6,10,0.008,0.0018,0.00075
2022,粤电力 A,电力,442,8302,18.8,-,-,-,30,0.3,7,0.0043,0.0014,0.0004
2022,京能电力,电力,222,6584,29.61,-,-,-,40,0.4,8,0.005,0.0016,0.00048
2022,中国电力,电力,347,5509,15.86,-,-,-,80,0.6,10,0.008,0.0018,0.00075
2022,长江电力,电力,556,5233,,-,-,-,260,1.2,15,0.0173,0.004,0.0017
2022,明星电力,电力,32,4844,,,,,1.79,0.42,6.5,0.0028,0.0018,0.00025
2022,川投能源,电力,39,4754,,,,,33.89,0.78,15,0.0052,0.003,0.0005
2022,桂冠电力,电力,89,4672,,,,,35,0.45,10,0.0045,0.0015,0.0004
2022,国投电力,电力,186,4539,10.65,,,,50,0.75,12,0.006,0.0016,0.00055
2022,天富能源,电力,127,4446,19.73,,,,20,0.35,8,0.0044,0.0014,0.0004
2022,华电能源,电力,114,4164,25.68,,,,10,0.2,8,0.0025,0.0012,0.0002
2022,金山股份,电力,55,4046,23.86,,,,5,0.15,7,0.0022,0.001,0.0002
2022,通宝能源,电力,41,3643,,,,,10,0.2,8,0.0025,0.0012,0.0002
2022,申能股份,电力,165,3395,8.97,,,,50,1,12,0.0083,0.0018,0.0008
2022,涪陵电力,电力,21,3227,,,,,7,0.8,10,0.008,0.0028,0.0008
2021年,华能国际,电力,,"37,610.05",,"4,301.65",,,,,,,,
2022年,国电电力,电力,,37896,,4633.53,4405.44,4103.71,,,,,,
2023年,陕能股份,电力,194.53,6.29,0.03,443,414.41,,25.56,,,,,
2024年,浙能电力,电力,,"13,600",,1739.52,"1,647.11",,,,,,,
2022年,江苏国信,电力,324.39,4727.54,14.57,664.65,,,,,,,,
2020,华能国际,电力,1694,33329,19.68,"4,050.06","3,881.82",3616.3,57.04,,,0.066,0.1966,
2020,国电电力,电力,1164,24708,21.22,,,,,,,,,
2020,大唐发电,电力,956,23298,24.37,2698.33,2726.303,2547.695,53.16,,,,,
2020,华电国际,电力,907,15271,16.83,221.6,207.8,120.5,45,0.42,4.5,0.093,0.156,0.093
2020,华润电力,电力,585,14071,24.04,168.9,158.7,90,75,1.5,10,0.15,0.2,0.15
2020,浙能电力,电力,517,9320,18.03,120,112,60,50,0.5,5,0.1,0.18,0.1
2020,京能电力,电力,201,6593,32.8,80,75,40,15,0.15,2.5,0.06,0.15,0.06
2020,粤电力A,电力,283,5264,18.58,500,480,200,30,0.5,5,0.1,0.2,0.12
2020,申能股份,电力,197,1882,9.55,300,280,80,20,0.4,5,0.08,0.25,0.09
2020,金山股份,电力,73,1843,25.3,100,90,30,1,0.02,2,0.01,0.1,0.02
2020,豫能控股,电力,87,1690,19.47,150,140,40,2,0.05,2.5,0.02,0.2,0.03
2020,华银电力,电力,83,1579,19.12,200,180,50,1.5,0.08,2.5,0.032,0.15,0.035
2020,湖北能源,电力,170,1325,7.78,300,280,80,20,0.3,4,0.07,0.25,0.08
2020,福能股份,电力,96,1237,12.94,200,180,50,15,0.25,4,0.06,0.2,0.07
2020,广州发展,电力,317,1225,3.86,250,230,60,12,0.2,3.5,0.05,0.18,0.06
2020,京能清洁能源,电力,170,865,5.09,150,140,40,10,0.15,2.5,0.05,0.2,0.06
2021,大唐发电,电力,1034,20071,19.41,2500,2350,800,12.3,0.08,3.45,0.0234,0.102,0.0234
2021,华电国际,电力,1044,17205,16.48,2200,2100,750,15.6,0.12,3.12,0.0389,0.123,0.0389
2021,华润电力,电力,745,15308,20.54,1800,1700,600,45.6,0.95,6.78,0.1402,0.189,0.1402
2021,中电控股,电力,697,4793,6.88,800,750,250,78.9,3.12,25.67,0.1234,0.223,0.1234
2021,国投电力,电力,437,4651,10.65,1200,1100,400,45.6,0.67,6.78,0.0989,0.189,0.0989
2021,长源电力,电力,122,2526,20.77,500,450,150,12.3,0.12,3.12,0.0389,0.102,0.0389
2021,广州发展,电力,379,1570,4.14,315.6,298.4,120.5,12.5,0.45,4.56,0.0987,0.183,0.0987
2020,鞍钢股份,钢铁,1009,4718,4.68,,,,19.29,0.35,5.06,0.0703,0.1342,0.0719
2020,华菱钢铁,钢铁,1165,4534,3.89,,,,63.95,0.89,4.91,0.1818,0.1204,0.1919
2020,河钢股份,钢铁,1077,4952,4.6,,,,21.69,0.104,4.45,0.0234,0.1065,0.0237
2020,马钢股份,钢铁,816,3926,4.81,,,,19.73,0.29,4.43,0.0654,0.1176,0.0671
2020,首钢股份,钢铁,800,3556,4.45,,,,11.36,0.17,4.17,0.0409,0.1039,0.0415
2020,包钢股份,钢铁,593,3432,5.79,,,,2.14,0.01,2.47,0.0043,0.1162,0.0043
2020,山东钢铁,钢铁,873,3374,3.86,,,,3.59,0.04,3.15,0.0134,0.1093,0.0135
2020,柳钢股份,钢铁,547,2758,5.04,,,,14.78,0.43,4.94,0.0875,0.1243,0.0902
2020,中信特钢,钢铁,747,2336,3.13,,,,60.24,1.24,8.54,0.1473,0.1733,0.1557
2020,本钢板材,钢铁,487,2189,4.5,,,,2.69,0.07,4.42,0.0153,0.1144,0.0154
2020,方大特钢,钢铁,166,759,4.57,,,,21.4,1.05,7.58,0.1413,0.2144,0.1468
2020,沙钢股份,钢铁,144,638,4.42,,,,8.37,0.23,4.14,0.0556,0.1025,0.0567
2020,包钢股份,钢铁,593,3432,5.79,,,,2.14,0.01,2.47,0.0043,0.1162,0.0043
2020,凌钢股份,钢铁,203,1102,5.43,,,,3.06,0.11,3.54,0.0309,0.1174,0.0313
2020,重庆钢铁,钢铁,245,1267,5.17,,,,10.96,0.15,2.37,0.0657,0.1503,0.0671
2020,柳钢股份,钢铁,547,2758,5.04,,,,14.78,0.43,4.94,0.0875,0.1243,0.0902
2020,马钢股份,钢铁,816,3926,4.81,,,,19.73,0.29,4.43,0.0654,0.1176,0.0671
